totalOperations,36
expansions,reached,frontier,maxDepth
1,7,6,0
7,34,27,1
34,136,50,2
84,325,50,3
134,509,50,4
184,703,50,5
234,899,50,6
284,1087,50,7
334,1268,50,8
384,1450,50,9
434,1625,50,10
484,1802,50,11
534,1992,50,12
584,2182,50,13
634,2376,50,14
684,2565,50,15
734,2752,50,16
784,2934,50,17
834,3111,50,18
884,3275,50,19
934,3429,50,20
984,3574,50,21
1034,3712,50,22
1084,3842,50,23
1134,3967,50,24
1184,4088,50,25
1234,4203,50,26
1284,4310,50,27
1334,4397,50,28
1384,4462,50,29
1434,4512,50,30
1484,4573,50,31
1534,4626,50,32
1584,4682,50,33
1634,4731,49,34
1683,4763,32,35
