totalOperations,50
expansions,reached,frontier,maxDepth
1,11,10,0
11,79,50,1
61,388,50,2
111,698,50,3
161,1033,50,4
211,1448,50,5
261,1868,50,6
311,2299,50,7
361,2725,50,8
411,3153,50,9
461,3573,50,10
511,3975,50,11
561,4362,50,12
611,4741,50,13
661,5114,50,14
711,5480,50,15
761,5836,50,16
811,6187,50,17
861,6524,50,18
911,6869,50,19
961,7206,50,20
1011,7535,50,21
1061,7852,50,22
1111,8146,50,23
1161,8420,50,24
1211,8698,50,25
1261,8970,50,26
1311,9230,50,27
1361,9487,50,28
1411,9734,50,29
1461,9969,50,30
1511,10193,50,31
1561,10408,50,32
1611,10605,50,33
1661,10774,50,34
1711,10925,50,35
1761,11087,50,36
1811,11233,50,37
1861,11378,50,38
1911,11508,50,39
1961,11630,50,40
2011,11733,50,41
2061,11835,50,42
2111,11933,50,43
2161,12016,50,44
2211,12075,50,45
2261,12123,48,46
2309,12181,50,47
2359,12238,50,48
2409,12275,37,49
