totalOperations,36
expansions,reached,frontier,maxDepth
1000,4665,3665,19
2000,8809,6809,20
3000,12999,9999,22
4000,17166,13166,24
5000,21434,16434,24
6000,25324,19324,24
7000,29166,22166,24
8000,33102,25102,24
9000,37298,28298,24
10000,41380,31380,24
11000,45466,34466,25
12000,49546,37546,26
13000,53509,40509,26
14000,57107,43107,28
15000,61007,46007,28
16000,64958,48958,28
17000,68968,51968,28
18000,72806,54806,28
19000,76886,57886,28
20000,81043,61043,28
21000,85084,64084,28
22000,89027,67027,28
23000,93157,70157,28
24000,96791,72791,28
25000,100356,75356,28
26000,104380,78380,28
27000,108371,81371,28
28000,112275,84275,28
29000,116038,87038,28
30000,119938,89938,28
31000,123749,92749,28
32000,127565,95565,28
33000,131377,98377,28
34000,135166,101166,28
35000,139013,104013,28
36000,142880,106880,28
37000,146719,109719,28
38000,150569,112569,28
39000,154435,115435,28
40000,158303,118303,28
41000,162168,121168,28
42000,166200,124200,28
43000,170033,127033,28
44000,173771,129771,28
45000,177294,132294,28
46000,181189,135189,28
47000,185211,138211,28
48000,189329,141329,28
49000,193372,144372,28
50000,197179,147179,28
51000,201054,150054,28
52000,204943,152943,28
53000,208901,155901,28
54000,212464,158464,28
55000,216362,161362,28
56000,220271,164271,28
57000,223846,166846,28
58000,227438,169438,28
59000,231290,172290,28
60000,235102,175102,28
61000,238954,177954,28
62000,242784,180784,28
63000,246653,183653,28
64000,250019,186019,28
65000,253631,188631,28
66000,257367,191367,28
67000,261311,194311,28
68000,265146,197146,28
69000,268917,199917,28
70000,272597,202597,28
71000,276355,205355,28
72000,280098,208098,28
73000,284005,211005,28
74000,287946,213946,28
75000,291539,216539,28
76000,294927,218927,28
77000,298785,221785,28
78000,302549,224549,28
79000,306516,227516,28
80000,310391,230391,28
81000,314517,233517,28
82000,318425,236425,28
83000,322241,239241,28
84000,326340,242340,28
85000,330453,245453,28
86000,334138,248138,28
87000,337728,250728,28
88000,341698,253698,28
89000,345549,256549,28
90000,349336,259336,28
91000,353214,262214,28
92000,356727,264727,28
93000,360249,267249,28
94000,363113,269113,29
95000,366541,271541,29
96000,369843,273843,29
97000,373259,276259,29
98000,376678,278678,29
99000,380611,281611,29
100000,384328,284328,29
101000,388312,287312,29
102000,391989,289989,29
103000,395594,292594,29
104000,399233,295233,29
105000,402806,297806,29
106000,406202,300202,29
107000,409477,302477,29
108000,412623,304623,29
109000,415949,306949,29
110000,419255,309255,29
111000,422824,311824,29
112000,426250,314250,29
113000,430065,317065,29
114000,433426,319426,29
115000,436612,321612,29
116000,440265,324265,29
117000,444000,327000,29
118000,447211,329211,29
119000,450574,331574,29
120000,453741,333741,29
121000,456782,335782,29
122000,460385,338385,29
123000,463734,340734,29
124000,467471,343471,29
125000,470621,345621,29
126000,473690,347690,29
127000,477111,350111,29
128000,480584,352584,29
129000,483520,354520,29
130000,486118,356118,29
131000,488879,357879,29
132000,492481,360481,29
133000,495648,362648,29
134000,498958,364958,29
135000,501935,366935,29
136000,505129,369129,29
137000,509118,372118,29
138000,512496,374496,29
139000,515610,376610,29
140000,518679,378679,29
141000,521802,380802,29
142000,524620,382620,29
143000,527374,384374,29
144000,530415,386415,29
145000,533708,388708,29
146000,536869,390869,29
147000,540010,393010,29
148000,543273,395273,29
149000,546640,397640,29
150000,549887,399887,29
