totalOperations,50
expansions,reached,frontier,maxDepth
1000,8346,7346,14
2000,16234,14234,15
3000,23658,20658,18
4000,30955,26955,19
5000,38464,33464,21
6000,45459,39459,21
7000,52933,45933,21
8000,60212,52212,21
9000,67284,58284,22
10000,74300,64300,22
11000,81503,70503,22
12000,88593,76593,27
13000,95630,82630,27
14000,102882,88882,27
15000,110294,95294,27
16000,117532,101532,27
17000,124965,107965,27
18000,132173,114173,27
19000,139479,120479,27
20000,146744,126744,27
21000,153789,132789,27
22000,160199,138199,27
23000,166909,143909,27
24000,173500,149500,27
25000,180185,155185,27
26000,187157,161157,27
27000,194305,167305,27
28000,201036,173036,27
29000,208245,179245,27
30000,215111,185111,27
31000,222445,191445,27
32000,229620,197620,27
33000,236896,203896,27
34000,244258,210258,27
35000,251910,216910,27
36000,259156,223156,27
37000,266291,229291,27
38000,273575,235575,27
39000,280806,241806,27
40000,288023,248023,27
41000,295477,254477,27
42000,302862,260862,27
43000,309830,266830,27
44000,316993,272993,27
45000,324067,279067,27
46000,331612,285612,27
47000,338675,291675,27
48000,345697,297697,27
49000,353151,304151,27
50000,360922,310922,27
51000,368100,317100,27
52000,375132,323132,27
53000,382284,329284,27
54000,389484,335484,27
55000,396443,341443,27
56000,404148,348148,27
57000,411733,354733,27
58000,419477,361477,27
59000,426732,367732,27
60000,433776,373776,27
61000,440910,379910,27
62000,448127,386127,27
63000,455174,392174,27
64000,462390,398390,27
65000,470005,405005,27
66000,477295,411295,27
67000,484392,417392,27
68000,492009,424009,27
69000,499729,430729,27
70000,507159,437159,27
71000,514820,443820,27
72000,522139,450139,27
73000,529200,456200,27
74000,536499,462499,27
75000,543600,468600,27
76000,550736,474736,27
77000,557761,480761,27
78000,564836,486836,27
79000,572200,493200,27
80000,579696,499696,27
81000,587008,506008,27
82000,594316,512316,27
83000,601417,518417,27
84000,608624,524624,27
85000,616227,531227,27
86000,623076,537076,29
87000,629731,542731,29
88000,636381,548381,29
89000,642878,553878,29
90000,649516,559516,29
91000,656026,565026,29
92000,662559,570559,29
93000,669106,576106,29
94000,675495,581495,29
95000,682024,587024,29
96000,688312,592312,29
97000,694543,597543,29
98000,701080,603080,30
99000,708414,609414,30
100000,715735,615735,30
101000,722810,621810,30
102000,730340,628340,30
103000,737724,634724,30
104000,744781,640781,30
105000,751993,646993,30
106000,758912,652912,30
107000,766553,659553,30
108000,773886,665886,30
109000,781622,672622,30
110000,788969,678969,30
111000,796380,685380,30
112000,803554,691554,30
113000,810779,697779,30
114000,818153,704153,30
115000,825392,710392,30
116000,832516,716516,30
117000,839412,722412,30
118000,846545,728545,30
119000,853905,734905,30
120000,861684,741684,30
121000,868949,747949,30
122000,876454,754454,30
123000,883789,760789,30
124000,891821,767821,30
125000,899289,774289,30
126000,906814,780814,30
127000,914360,787360,30
128000,921864,793864,30
129000,929580,800580,30
130000,936755,806755,30
131000,944350,813350,30
132000,951998,819998,30
133000,959291,826291,30
134000,966659,832659,30
135000,974355,839355,30
136000,981721,845721,30
137000,989072,852072,30
138000,996629,858629,30
139000,1003623,864623,30
140000,1010700,870700,30
141000,1017749,876749,30
142000,1024898,882898,30
143000,1032131,889131,30
144000,1039769,895769,30
145000,1047202,902202,30
146000,1054985,908985,30
147000,1062655,915655,30
148000,1070054,922054,30
149000,1077395,928395,30
150000,1084944,934944,30
151000,1092637,941637,30
152000,1099932,947932,30
153000,1107423,954423,30
154000,1114870,960870,30
155000,1122411,967411,30
156000,1129694,973694,30
157000,1137202,980202,30
158000,1144583,986583,30
159000,1152143,993143,30
160000,1159376,999376,30
161000,1166619,1005619,30
162000,1173982,1011982,30
163000,1181347,1018347,30
164000,1188521,1024521,30
165000,1195942,1030942,30
166000,1203337,1037337,30
167000,1210571,1043571,30
168000,1217938,1049938,30
169000,1224689,1055689,30
170000,1231215,1061215,30
171000,1237676,1066676,30
172000,1244134,1072134,30
173000,1250432,1077432,30
174000,1256829,1082829,30
175000,1263433,1088433,30
176000,1269742,1093742,30
177000,1276413,1099413,30
178000,1282905,1104905,30
179000,1289310,1110310,30
180000,1295642,1115642,30
181000,1302163,1121163,30
182000,1308656,1126656,30
183000,1314932,1131932,30
184000,1321608,1137608,30
185000,1328128,1143128,30
186000,1334408,1148408,30
187000,1341013,1154013,30
188000,1347410,1159410,30
189000,1353750,1164750,30
190000,1360244,1170244,30
191000,1366990,1175990,30
192000,1373436,1181436,30
193000,1379562,1186562,30
194000,1385803,1191803,30
